시도,군구,관광지,내/외국인,총계(2022.01 ~ 2022.12),2022년,,,,,,,,,,,,,
,,,,,인원계,2022년 01월,2022년 02월,2022년 03월,2022년 04월,2022년 05월,2022년 06월,2022년 07월,2022년 08월,2022년 09월,2022년 10월,2022년 11월,2022년 12월,
경상북도,영덕군,강구항,내국인,"2,751,830","2,751,830","240,438","219,101","210,877","256,368","331,544","271,468","255,749","249,200","275,356","285,404","156,325",0,
경상북도,영덕군,강구항,합계,"2,751,830","2,751,830","240,438","219,101","210,877","256,368","331,544","271,468","255,749","249,200","275,356","285,404","156,325",0,
경상북도,영덕군,괴시리전통마을,내국인,"39,486","39,486","2,799","3,154","2,749","2,937","4,002","3,311","3,819","3,849","2,920","3,933","3,068","2,945",
경상북도,영덕군,괴시리전통마을,합계,"39,486","39,486","2,799","3,154","2,749","2,937","4,002","3,311","3,819","3,849","2,920","3,933","3,068","2,945",
경상북도,영덕군,삼사해상공원,내국인,"26,852","26,852","6,895","2,648","1,731",942,223,"1,252","1,467","2,300","1,361","2,951","2,488","2,594",
경상북도,영덕군,삼사해상공원,합계,"26,852","26,852","6,895","2,648","1,731",942,223,"1,252","1,467","2,300","1,361","2,951","2,488","2,594",
경상북도,영덕군,신재생에너지전시관,내국인,"29,997","29,997","2,078","1,446",881,"1,472","2,972","2,544","3,151","3,842","1,620","4,108","2,830","3,053",
경상북도,영덕군,신재생에너지전시관,외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
경상북도,영덕군,신재생에너지전시관,합계,"29,997","29,997","2,078","1,446",881,"1,472","2,972","2,544","3,151","3,842","1,620","4,108","2,830","3,053",
경상북도,영덕군,어촌민속전시관,내국인,"28,651","28,651","1,656","1,482","1,263","1,755","2,377","2,038","2,618","2,931","2,139","3,824","3,719","2,849",
경상북도,영덕군,어촌민속전시관,외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
경상북도,영덕군,어촌민속전시관,합계,"28,651","28,651","1,656","1,482","1,263","1,755","2,377","2,038","2,618","2,931","2,139","3,824","3,719","2,849",
경상북도,영덕군,축산항,내국인,"198,441","198,441","20,004","17,336","13,291","16,277","19,484","17,078","14,757","14,661","13,765","20,556","17,221","14,011",
경상북도,영덕군,축산항,합계,"198,441","198,441","20,004","17,336","13,291","16,277","19,484","17,078","14,757","14,661","13,765","20,556","17,221","14,011",
경상북도,영덕군,칠보산자연휴양림,내국인,"92,115","92,115","7,667","6,576","3,289","5,776","8,352","8,594","10,905","14,047","8,158","9,936","4,666","4,149",
경상북도,영덕군,칠보산자연휴양림,외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
경상북도,영덕군,칠보산자연휴양림,합계,"92,115","92,115","7,667","6,576","3,289","5,776","8,352","8,594","10,905","14,047","8,158","9,936","4,666","4,149",
경상북도,영덕군,팔각산(달산면옥계리등산로),내국인,"15,898","15,898",662,"2,330","1,945","1,467",847,"1,329","2,072","2,305",758,"1,081",720,382,
경상북도,영덕군,팔각산(달산면옥계리등산로),합계,"15,898","15,898",662,"2,330","1,945","1,467",847,"1,329","2,072","2,305",758,"1,081",720,382,
경상북도,영덕군,풍력발전단지,내국인,"217,126","217,126","18,974","15,565","13,842","17,903","22,412","17,237","16,966","32,967","18,083","9,498","9,525","24,154",
경상북도,영덕군,풍력발전단지,합계,"217,126","217,126","18,974","15,565","13,842","17,903","22,412","17,237","16,966","32,967","18,083","9,498","9,525","24,154",
경상북도,영덕군,해맞이공원,내국인,"71,742","71,742","7,805","6,571","3,817","5,668","8,114","7,258","6,311","8,447","3,911","5,865","4,382","3,593",
경상북도,영덕군,해맞이공원,합계,"71,742","71,742","7,805","6,571","3,817","5,668","8,114","7,258","6,311","8,447","3,911","5,865","4,382","3,593",
