,낙산사,미천골자연휴양림,설악산국립공원(남설악),설악산국립공원(약수터),설악산국립공원(용소폭포),설해원,오산리선사유적박물관,오색그린야드호텔 온천 이용객
2022년,1193348,29334,60920,144473,34427,209352,54630,243989
2022년 01월,110603,171,3171,4212,922,8130,4189,15307
2022년 02월,95356,170,2950,3626,780,10833,4626,13522
2022년 03월,47530,116,208,3042,330,14783,2283,10208
2022년 04월,82879,384,0,7365,130,19000,3655,15153
2022년 05월,112172,4738,6277,11964,2292,24000,5511,19438
2022년 06월,104600,6998,6976,10680,2444,20000,5271,20895
2022년 07월,100172,1283,4174,12900,2540,23039,5821,22590
2022년 08월,123667,967,3906,12602,2587,22576,6634,26976
2022년 09월,96173,346,7567,11065,3103,18818,3784,23074
2022년 10월,149149,8305,21905,50772,15586,18715,5682,29869
2022년 11월,94146,3777,2306,12870,3054,18179,3659,24547
2022년 12월,76901,2079,1480,3375,659,11279,3515,22410
