,강구항,괴시리전통마을,삼사해상공원,신재생에너지전시관,어촌민속전시관,축산항,칠보산자연휴양림,팔각산(달산면옥계리등산로),풍력발전단지,해맞이공원
2022년,2995036,39486,26852,29997,28651,198441,92115,15898,217126,71742
2022년 01월,240438,2799,6895,2078,1656,20004,7667,662,18974,7805
2022년 02월,219101,3154,2648,1446,1482,17336,6576,2330,15565,6571
2022년 03월,210877,2749,1731,881,1263,13291,3289,1945,13842,3817
2022년 04월,256368,2937,942,1472,1755,16277,5776,1467,17903,5668
2022년 05월,331544,4002,223,2972,2377,19484,8352,847,22412,8114
2022년 06월,271468,3311,1252,2544,2038,17078,8594,1329,17237,7258
2022년 07월,255749,3819,1467,3151,2618,14757,10905,2072,16966,6311
2022년 08월,249200,3849,2300,3842,2931,14661,14047,2305,32967,8447
2022년 09월,275356,2920,1361,1620,2139,13765,8158,758,18083,3911
2022년 10월,285404,3933,2951,4108,3824,20556,9936,1081,9498,5865
2022년 11월,156325,3068,2488,2830,3719,17221,4666,720,9525,4382
2022년 12월,243206,2945,2594,3053,2849,14011,4149,382,24154,3593
